location,lat,lon
auburn,32.60986,-85.48078
birmingham,33.52066,-86.80249
dothan,31.22323,-85.39049
gadsden,34.01426,-86.00664
huntsville,34.73037,-86.5861
mobile,30.69436,-88.04305
montgomery,32.36681,-86.29997
shoals,34.74481,-87.66753
tuscaloosa,33.20984,-87.56917
bridgeport,41.18655,-73.19518
newlondon,41.71961,-72.21741
hartford,41.76371,-72.68509
newhaven,41.30815,-72.92816
nwct,41.60322,-73.08775
delaware,38.91083,-75.52767
nova,39.09952,-77.54331
southernmaryland,38.85987,-76.95175
dc,38.89511,-77.03637
daytona,29.18605,-81.06719
ftlauderdale,26.12231,-80.14338
fortmyers,26.64063,-81.87231
gainesville,29.65163,-82.32483
jacksonville,30.33218,-81.65565
keys,24.74332,-81.25188
lakeland,28.03947,-81.9498
miami,25.78897,-80.22644
ocala,29.1872,-82.14009
okaloosa,30.57751,-86.66108
orlando,28.53834,-81.37924
panamacity,30.15881,-85.66021
pensacola,30.42131,-87.21691
sarasota,27.33643,-82.53065
spacecoast,28.26393,-80.72144
staugustine,29.89426,-81.31321
tallahassee,30.43826,-84.28073
tampa,27.95058,-82.45718
treasurecoast,27.36905,-80.386
westpalmbeach,26.71534,-80.05337
albanyga,31.57851,-84.15574
athensga,33.9558,-83.38237
atlanta,33.749,-84.38798
augusta,33.47425,-82.00967
brunswick,31.14995,-81.49149
columbusga,32.46098,-84.98771
macon,32.84069,-83.6324
nwga,32.15744,-82.90712
savannah,32.08354,-81.09983
statesboro,32.44879,-81.78317
valdosta,30.8327,-83.27849
bloomington,40.4842,-88.99369
carbondale,37.72727,-89.21675
chambana,38.79161,-90.23765
chicago,41.87811,-87.6298
decatur,39.84031,-88.9548
lasalle,41.4364,-88.94139
mattoon,39.48309,-88.37283
peoria,40.69365,-89.58899
rockford,42.27113,-89.094
springfieldil,39.78172,-89.65015
quincy,40.46259,-90.68174
bloomingtonin,39.16533,-86.52639
evansville,37.97156,-87.57109
fortwayne,41.07927,-85.13935
indianapolis,39.76852,-86.15807
kokomo,40.48643,-86.1336
tippecanoe,40.4167,-86.87529
muncie,40.19338,-85.38636
richmondin,39.82894,-84.89024
southbend,41.68338,-86.25001
terrehaute,39.4667,-87.41391
bowlinggreen,36.99032,-86.4436
eastky,37.5163,-82.80599
lexington,38.04058,-84.50372
louisville,38.25266,-85.75846
owensboro,37.77191,-87.11117
westky,36.98444,-86.45671
maine,46.82,-67.92361
annapolis,38.97845,-76.49218
baltimore,39.29038,-76.61219
cumberlandvalley,39.81102,-78.6342
easternshore,39.30274,-76.48751
frederick,39.41427,-77.41054
westernmaryland,39.29327,-76.65654
boston,42.35843,-71.05977
capecod,41.79527,-70.36834
southcoast,41.7668,-71.2599
springfield,42.10148,-72.58981
worcester,42.26259,-71.80229
annarbor,42.28083,-83.74304
battlecreek,42.32115,-85.17971
centralmich,42.6199,-83.91637
detroit,42.33143,-83.04575
flint,43.01253,-83.68746
grandrapids,42.96336,-85.66809
holland,42.78752,-86.10893
jacksonmi,42.24587,-84.40135
kalamazoo,42.29171,-85.58723
lansing,42.73254,-84.55553
monroemi,41.91643,-83.39771
muskegon,43.23418,-86.24839
